Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,146.419998,148.059998,146.029999,146.860001,132.053345,8804005
2018-01-17,147.839996,148.320007,145.479996,146.979996,132.161270,10619654
2018-01-18,146.929993,147.440002,145.970001,146.919998,132.107300,5554815
2018-01-19,147.460007,147.649994,146.419998,147.360001,132.502945,8738791
2018-01-22,147.009995,148.139999,146.720001,148.139999,133.204300,7010438
2018-01-23,146.960007,147.440002,141.619995,141.830002,127.530479,17473631
2018-01-24,143.500000,143.559998,141.800003,142.070007,127.746300,13034368
2018-01-25,142.309998,144.660004,142.210495,144.399994,129.841370,7938846
2018-01-26,144.500000,145.600006,144.130005,145.330002,130.677597,8065646
2018-01-29,144.850006,144.940002,143.529999,143.679993,129.193939,8013444
2018-01-30,143.399994,143.820007,142.429993,142.429993,128.069962,8376092
2018-01-31,142.570007,142.570007,138.100006,138.190002,124.257477,13137396
2018-02-01,137.529999,140.669998,137.000000,140.020004,125.902977,9393645
2018-02-02,139.020004,140.360001,137.380005,137.679993,123.798897,9262508
2018-02-05,136.580002,137.000000,122.150002,130.389999,117.243866,19954145
2018-02-06,130.009995,132.990005,128.000000,131.830002,118.538712,19193520
2018-02-07,131.889999,133.429993,131.350006,131.419998,118.170029,10550411
2018-02-08,130.910004,131.250000,126.110001,126.360001,113.620193,11680221
2018-02-09,127.519997,130.919998,125.440002,129.529999,116.470589,15030881
2018-02-12,130.000000,131.320007,127.675499,130.270004,117.135971,9963943
2018-02-13,129.210007,130.600006,128.699997,129.960007,116.857231,6339029
2018-02-14,129.440002,130.014999,128.389999,129.669998,116.596466,6259662
2018-02-15,130.100006,131.279999,129.399994,131.229996,117.999199,5606447
2018-02-16,130.960007,134.449997,130.839996,133.149994,119.725601,7970065
2018-02-20,132.869995,133.449997,130.660004,130.869995,117.675484,6563538
2018-02-21,130.800003,132.434799,129.860001,129.910004,116.812263,6578047
2018-02-22,130.100006,131.020004,129.479996,129.910004,116.812263,5732245
2018-02-23,130.089996,132.080002,130.020004,132.020004,118.709534,5126832
2018-02-26,131.710007,133.405502,131.000000,132.070007,119.514931,6684416
2018-02-27,132.210007,133.089996,131.600006,131.669998,119.152931,7158550
2018-02-28,131.949997,132.330002,129.869995,129.880005,117.533134,7985941
2018-03-01,129.110001,130.119995,126.519997,127.279999,115.180283,9424007
2018-03-02,126.910004,129.110001,126.910004,128.820007,116.573891,6910426
2018-03-05,128.630005,130.300003,128.179993,129.789993,117.451668,5799799
2018-03-06,130.000000,130.199997,127.919998,128.220001,116.030937,5546530
2018-03-07,127.480003,129.330002,127.269997,129.039993,116.772964,6391661
2018-03-08,129.330002,132.300003,129.330002,132.059998,119.505882,6423362
2018-03-09,132.509995,133.820007,131.559998,133.800003,121.080452,7557814
2018-03-12,133.800003,134.229996,132.320007,132.630005,120.021698,4942046
2018-03-13,133.800003,135.389999,133.449997,134.350006,121.578201,9152306
2018-03-14,135.240005,135.699997,131.899994,132.320007,119.741173,6770620
2018-03-15,132.550003,134.240005,132.470001,133.059998,120.410820,6147165
2018-03-16,133.160004,134.399994,132.100006,133.679993,120.971870,14233523
2018-03-19,133.350006,133.470001,129.360001,130.240005,117.858917,6016952
2018-03-20,130.779999,131.779999,129.380005,131.210007,118.736687,6214255
2018-03-21,131.399994,132.779999,130.660004,131.190002,118.718597,5158743
2018-03-22,130.470001,130.679993,127.099998,127.379997,115.270782,7560078
2018-03-23,127.629997,127.870003,124.900002,125.099998,113.207512,8452497
2018-03-26,126.410004,127.540001,125.209999,127.389999,115.279823,8358246
2018-03-27,127.110001,129.100006,126.389999,127.209999,115.116936,7789861
2018-03-28,127.629997,129.020004,127.209999,127.449997,115.334129,6868531
2018-03-29,127.970001,128.759995,126.820000,128.149994,115.967583,6119424
2018-04-02,127.820000,127.879997,123.540001,124.559998,112.718857,8916907
2018-04-03,125.180000,128.485001,124.680000,128.350006,116.148575,8034954
2018-04-04,126.900002,131.119995,126.389999,130.410004,118.012741,7717054
2018-04-05,130.410004,131.199997,129.500000,130.710007,118.284233,5621686
2018-04-06,130.220001,130.639999,126.410004,128.100006,115.922340,6399310
2018-04-09,128.649994,131.139999,127.680000,129.479996,117.171165,6395848
2018-04-10,130.250000,130.909607,129.289993,130.250000,117.867935,6069549
2018-04-11,129.139999,130.350006,129.029999,129.630005,117.306870,4575422
2018-04-12,130.089996,131.309998,129.860001,130.429993,118.030838,4559776
2018-04-13,131.089996,131.419998,129.630005,130.619995,118.202766,4742250
2018-04-16,131.410004,132.880005,131.279999,131.759995,119.234390,6379562
2018-04-17,132.110001,132.199997,128.809998,130.539993,118.130379,11008695
2018-04-18,129.690002,129.899994,126.940002,127.720001,115.578453,9383604
2018-04-19,127.629997,128.270004,126.887497,127.550003,115.424622,5959525
2018-04-20,128.000000,128.300003,126.169998,126.660004,114.619240,7743916
2018-04-23,126.879997,127.300003,125.779999,126.830002,114.773056,7501870
